,Station Names,YEAR,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Amon_area,Amon_production,Aus_area,Aus_production,Jute_area,Jute_production,Boro_Area,Boro_Production
134,Rajshahi,1982,33.95,20.31666667,91.91666667,74.91666667,1.5,2.6583333330000003,7.016666667000001,1082770.0,513660,462170,181885.0,29160.0,100290,112885.0,113360.0
135,Rangamati,1982,33.40833333,22.29166667,156.5,79.25,1.666666667,4.108333333,6.455864198,87095.0,50380,75655,35660.0,425.0,970,22265.0,23035.0
136,Rangpur,1982,33.0,20.01666667,183.4166667,75.75,1.008333333,3.008333333,7.325,1389270.0,821520,880780,325090.0,272740.0,948240,101490.0,105770.0
137,Sandwip,1982,32.46666667,22.125,285.0,78.91666667,1.55,2.941666667,6.600617284,,,,,,,,
138,Satkhira,1982,34.6,21.425,113.3333333,69.83333333,2.275,3.1583333330000003,6.538611111,,,,,,,,
139,Khagrachari,1982,33.075,21.03333333,212.9166667,75.25,1.033333333,2.775,5.433333332999999,0.0,0,0,0.0,0.0,0,0.0,0.0
140,Maulavibazar,1982,34.41666667,19.24166667,184.25,83.75,0.525,0.291666667,6.355654762,,,,,,,,
141,Sylhet,1982,33.325,20.025,352.75,77.83333333,1.125,3.833333333,6.65,1137590.0,509035,502330,250510.0,8885.0,28875,628755.0,389705.0
142,Teknaf,1982,33.4,21.84166667,344.1666667,72.0,1.033333333,3.191666667,8.158333333,,,,,,,,
143,Barisal,1983,33.425,21.13333333,192.6666667,82.83333333,0.966666667,3.741666667,6.8666666670000005,920925.0,424030,412110,170275.0,7185.0,12405,114930.0,110720.0
144,Bhola,1983,33.46666667,21.70833333,260.0,83.83333333,0.7,3.541666667,5.383333333,,,,,,,,
145,Bogra,1983,34.03333333,20.5,147.33333330000005,75.08333333,1.116666667,2.9,6.758333333,636145.0,356310,254580,116215.0,48425.0,167045,110890.0,127590.0
146,Chandpur,1983,33.35,21.625,296.9166667,81.33333333,0.458333333,3.25,5.275,,,,,,,,
147,Chittagong,1983,32.40833333,21.18333333,294.75,78.33333333,3.175,4.075,6.783333333,549115.0,403695,189495,114730.0,,,280130.0,294330.0
148,Comilla,1983,32.91666667,21.11666667,190.5,80.41666667,1.466666667,3.633333333,6.558333332999999,925195.0,494835,488145,233480.0,75450.0,275390,298795.0,330880.0
149,Cox's Bazar,1983,32.625,22.05833333,346.1666667,81.83333333,1.791666667,3.975,6.9,,,,,,,,
150,Dhaka,1983,33.50833333,21.425,199.0,77.16666667,1.258333333,3.816666667,6.791666667,650250.0,315055,405185,181500.0,121630.0,424715,319215.0,354745.0
151,Dinajpur,1983,33.70833333,18.96666667,175.0,70.08333333,0.775,3.058333333,6.339,875150.0,453675,381675,160800.0,45095.0,150990,28185.0,31225.0
152,Faridpur,1983,33.69166667,21.55,187.5833333,77.41666667,0.675,2.45,6.607183908,714790.0,227050,542225,146155.0,168000.0,485200,107115.0,130740.0
153,Feni,1983,32.75,21.1,208.8333333,82.0,1.408333333,4.4,6.332183907999999,,,,,,,,
154,Noakhali,1983,31.80833333,22.09166667,312.0,81.08333333,2.275,3.666666667,6.462356322000001,698420.0,336245,306995,139880.0,3980.0,12735,171555.0,190305.0
155,Ishurdi,1983,35.25,20.2,140.25,72.5,1.4,3.216666667,6.606034482999999,,,,,,,,
156,Jessore,1983,35.0,20.9,154.0,76.58333333,2.4083333330000003,3.75,6.316666667000001,651930.0,291130,516390,172050.0,166630.0,565155,70235.0,78195.0
157,Khepupara,1983,32.33333333,22.09166667,204.3333333,78.5,1.975,3.95,6.048397436,,,,,,,,
158,Khulna,1983,33.25833333,21.25,192.5833333,81.91666667,2.575,3.591666667,6.618888889,989970.0,493190,124055,57430.0,28855.0,100735,54925.0,44175.0
159,Kutubdia,1983,32.51551724,22.27701149,214.3333333,81.75,1.791666667,3.5022988510000004,7.004722222000001,,,,,,,,
160,Madaripur,1983,34.05,20.35,167.5,77.08333333,0.35,2.516666667,5.645833333,,,,,,,,
161,Maijdee Court,1983,32.94166667,21.04166667,360.3333333,78.08333333,1.1,3.541666667,6.297413793,,,,,,,,
162,Mymensingh,1983,33.23333333,20.66666667,236.6666667,72.16666667,1.575,3.841666667,6.075,649100.0,350950,478370,227570.0,106540.0,366615,156405.0,130440.0
163,Patuakhali,1983,33.09166667,22.20833333,316.9166667,76.75,2.383333333,3.933333333,5.734195402,688520.0,328275,157170,68120.0,1080.0,1675,21385.0,17900.0
164,Rajshahi,1983,34.6,20.09166667,135.75,74.33333333,2.775,2.975,7.1166666670000005,1061115.0,508275,360350,117665.0,39610.0,142410,128290.0,130080.0
165,Rangamati,1983,32.89166667,22.15833333,219.0833333,76.75,1.341666667,4.341666667,6.455864198,81320.0,54360,64535,25790.0,250.0,530,26745.0,27885.0
166,Rangpur,1983,33.01666667,19.425,186.5,77.5,0.8583333329999999,3.175,6.933333332999999,1381250.0,852665,932190,315835.0,269615.0,988000,119240.0,124920.0
167,Sandwip,1983,31.79166667,22.08333333,343.0,83.41666667,1.283333333,3.458333333,6.600617284,,,,,,,,
168,Satkhira,1983,34.24166667,21.19166667,150.0,72.0,3.1,3.633333333,6.538611111,,,,,,,,
169,Khagrachari,1983,32.375,21.29166667,259.0,77.66666667,1.408333333,3.575,4.875,0.0,0,0,0.0,0.0,0,0.0,0.0
170,Maulavibazar,1983,33.275,19.65,262.9166667,81.41666667,0.525,1.95,6.355654762,,,,,,,,
171,Sylhet,1983,32.81666667,20.10833333,401.8333333,78.25,0.925,4.3,6.558333332999999,1142050.0,525610,501775,199785.0,7085.0,16650,626800.0,411585.0
172,Teknaf,1983,32.425,22.13333333,323.25,77.08333333,1.016666667,3.491666667,7.216666667,,,,,,,,
173,Barisal,1984,33.375,20.725,220.75,84.58333333,0.941666667,3.958333333,6.658333333,933275.0,455880,442275,189065.0,6970.0,13380,78875.0,73920.0
174,Bhola,1984,33.83333333,21.10833333,212.4166667,82.25,0.7,3.4,5.35,,,,,,,,
175,Bogra,1984,33.65833333,20.55833333,191.9166667,77.16666667,1.191666667,2.991666667,6.708333333,644675.0,389345,246355,110890.0,36405.0,121210,170155.0,189940.0
176,Chandpur,1984,33.16666667,19.775,305.5,79.83333333,0.666666667,3.083333333,5.55,,,,,,,,
177,Chittagong,1984,33.26666667,20.925,214.6666667,78.41666667,3.691666667,3.783333333,6.941666667000001,556480.0,408530,183810,116210.0,,,275430.0,303560.0
178,Comilla,1984,33.65833333,20.54166667,203.25,79.5,2.341666667,3.308333333,6.575,926855.0,493810,478180,235975.0,72455.0,292720,280435.0,283000.0
179,Cox's Bazar,1984,32.80833333,22.04166667,302.6666667,80.91666667,2.333333333,3.483333333,6.541666667,,,,,,,,
180,Dhaka,1984,33.8,21.68333333,252.3333333,74.91666667,0.983333333,3.708333333,6.691666667000001,648480.0,312090,428525,192720.0,116205.0,425560,269945.0,296485.0
181,Dinajpur,1984,33.15,19.24166667,180.4166667,71.66666667,0.933333333,3.266666667,6.339,880805.0,498180,426560,192885.0,42690.0,142855,30850.0,34625.0
182,Faridpur,1984,33.53333333,20.675,212.0,76.91666667,1.233333333,2.916666667,6.607183908,683225.0,237730,545530,157765.0,174165.0,585160,97285.0,89405.0
183,Feni,1984,33.39166667,20.70833333,276.25,80.5,1.158333333,3.933333333,6.332183907999999,,,,,,,,
